order_id,customer_id,order_date,status,shipping_address_id,coupon_id,subtotal,discount_amt,shipping_charges,tax_amt,total_amount,payment_status,delivery_date,warehouse_id,channel
16,2388,"2020-01-09 08:16:00",Shipped,568,,20805.92,1767.58,0.0,3426.9,22465.24,Paid,,4,App
17,3171,"2020-01-28 00:28:00",Cancelled,4942,15,2104.33,578.1,0.0,274.72,1800.95,Pending,,2,App
18,117,"2020-01-24 13:16:00",Delivered,6055,,40996.5,7817.61,0.0,5972.2,39151.09,Paid,"2020-01-30 13:16:00",6,App
19,157,"2020-01-07 18:31:00",Delivered,3945,,50295.57,2986.52,0.0,8515.63,55824.68,Paid,"2020-01-14 18:31:00",7,"Mobile Web"
20,237,"2020-01-10 09:14:00",Delivered,2079,,3751.28,751.67,0.0,539.93,3539.54,Paid,"2020-01-13 09:14:00",8,Website
21,2263,"2020-01-15 05:41:00",Cancelled,4355,,36236.24,4802.94,0.0,5657.99,37091.29,Failed,,10,"Mobile Web"
22,2387,"2020-01-17 14:29:00",Shipped,7199,,19555.72,910.12,0.0,3356.21,22001.81,Paid,,7,App
23,3404,"2020-01-10 08:25:00",Delivered,10029,175,29925.24,2295.11,0.0,4973.42,32603.55,Paid,"2020-01-12 08:25:00",3,App
24,1696,"2020-01-09 22:32:00",Delivered,1724,186,9880.49,2245.62,0.0,1374.28,9009.15,Paid,"2020-01-14 22:32:00",5,App
25,4298,"2020-01-04 23:01:00",Cancelled,7428,75,13164.94,3324.31,0.0,1771.31,11611.94,Failed,,3,App
26,2473,"2020-01-02 02:45:00",Delivered,4772,,72221.9,9453.63,0.0,11298.29,74066.56,Paid,"2020-01-05 02:45:00",5,App
27,1418,"2020-01-21 10:59:00",Delivered,8026,40,75810.04,14210.07,0.0,11087.99,72687.96,Paid,"2020-01-28 10:59:00",8,"Mobile Web"
28,3899,"2020-01-20 13:29:00",Returned,4418,144,54302.98,10135.07,0.0,7950.22,52118.13,Paid,,7,App
29,3749,"2020-01-20 21:41:00",Processing,4907,91,76159.94,17488.57,0.0,10560.85,69232.22,Pending,,1,App
30,2079,"2020-01-11 22:35:00",Delivered,41,20,73412.1,18349.61,0.0,9911.25,64973.74,Paid,"2020-01-16 22:35:00",3,App
31,1889,"2020-01-31 07:40:00",Delivered,2398,,54471.75,13354.62,0.0,7401.08,48518.21,Paid,"2020-02-06 07:40:00",10,Website
32,2581,"2020-01-09 14:54:00",Delivered,5416,68,73521.88,11005.23,0.0,11253.0,73769.65,Paid,"2020-01-13 14:54:00",9,App
33,2077,"2020-01-01 12:42:00",Delivered,8695,161,46614.57,12293.78,0.0,6177.74,40498.53,Paid,"2020-01-03 12:42:00",7,App
34,804,"2020-01-03 02:53:00",Delivered,2669,,23161.33,318.16,0.0,4111.77,26954.94,Paid,"2020-01-09 02:53:00",10,App
35,4601,"2020-01-28 20:47:00",Shipped,9390,,52348.0,6820.62,0.0,8194.93,53722.31,Paid,,5,App
36,2773,"2020-01-29 09:10:00",Delivered,642,,52605.62,7127.88,0.0,8185.99,53663.73,Paid,"2020-02-03 09:10:00",6,App
37,4042,"2020-01-28 21:00:00",Delivered,9633,76,68768.42,16651.21,0.0,9381.1,61498.31,Paid,"2020-02-03 21:00:00",3,App
38,4965,"2020-01-07 14:01:00",Delivered,9620,7,11305.87,2359.09,0.0,1610.42,10557.2,Paid,"2020-01-14 14:01:00",10,"Mobile Web"
39,3305,"2020-01-09 02:05:00",Delivered,3314,,19466.31,3923.95,0.0,2797.62,18339.98,Paid,"2020-01-13 02:05:00",4,App
40,2512,"2020-01-27 12:41:00",Delivered,2686,86,25638.15,6147.9,0.0,3508.24,22998.49,Paid,"2020-02-01 12:41:00",2,App
41,2860,"2020-01-29 07:56:00",Returned,691,,1414.14,314.07,0.0,198.01,1298.08,Paid,,5,App
42,150,"2020-01-16 07:46:00",Delivered,5676,,13217.19,1480.73,0.0,2112.56,13849.02,Paid,"2020-01-23 07:46:00",3,App
43,3644,"2020-01-30 02:13:00",Cancelled,9685,,27444.77,1315.92,0.0,4703.19,30832.04,Pending,,8,"Mobile Web"
44,1132,"2020-01-25 19:54:00",Delivered,8946,,44512.25,7233.5,0.0,6710.18,43988.93,Paid,"2020-02-01 19:54:00",6,"Mobile Web"
45,2810,"2020-01-16 01:45:00",Delivered,1607,,23757.91,4643.58,0.0,3440.58,22554.91,Paid,"2020-01-19 01:45:00",10,Website
46,3206,"2020-01-03 18:50:00",Shipped,3437,,25880.93,2860.56,0.0,4143.67,27164.04,Paid,,6,App
47,2269,"2020-01-13 21:40:00",Cancelled,3347,57,30621.87,4533.47,0.0,4695.91,30784.31,Pending,,1,App
48,896,"2020-01-21 17:38:00",Cancelled,8504,,35936.77,8001.42,0.0,5028.36,32963.71,Failed,,7,"Mobile Web"
49,3543,"2020-01-13 21:53:00",Cancelled,472,,71863.85,9039.36,0.0,11308.41,74132.9,Pending,,3,App
50,3958,"2020-01-01 20:07:00",Delivered,3584,,74122.2,8809.5,0.0,11756.29,77068.99,Paid,"2020-01-08 20:07:00",1,App
51,3547,"2020-01-04 08:24:00",Delivered,957,35,63436.18,18889.18,0.0,8018.46,52565.46,Paid,"2020-01-09 08:24:00",9,"Mobile Web"
52,302,"2020-01-03 14:38:00",Delivered,9590,,74302.19,17445.12,0.0,10234.27,67091.34,Paid,"2020-01-10 14:38:00",2,"Mobile Web"
53,4461,"2020-01-16 19:34:00",Delivered,2493,90,53564.54,6878.52,0.0,8403.48,55089.5,Paid,"2020-01-22 19:34:00",2,App
54,3889,"2020-01-01 16:47:00",Delivered,6639,,68542.09,8924.15,0.0,10731.23,70349.17,Paid,"2020-01-04 16:47:00",7,Website
55,779,"2020-01-09 17:41:00",Delivered,355,,65099.01,14291.67,0.0,9145.32,59952.66,Paid,"2020-01-14 17:41:00",4,"Mobile Web"
56,2443,"2020-01-06 21:01:00",Processing,2070,,72229.91,16157.49,0.0,10093.04,66165.46,Pending,,2,Website
57,813,"2020-01-29 16:48:00",Delivered,8503,42,75195.36,14632.45,0.0,10901.32,71464.23,Paid,"2020-02-02 16:48:00",10,"Mobile Web"
58,1518,"2020-01-10 09:03:00",Delivered,3566,,33627.25,4206.67,0.0,5295.7,34716.28,Paid,"2020-01-15 09:03:00",4,"Mobile Web"
59,3670,"2020-01-30 15:09:00",Processing,6645,,61930.02,5693.18,0.0,10122.63,66359.47,Pending,,4,App
60,1674,"2020-01-25 09:12:00",Delivered,9760,77,22202.95,5552.99,0.0,2996.99,19646.95,Paid,"2020-02-01 09:12:00",5,App
61,584,"2020-01-15 15:18:00",Confirmed,7872,,21345.57,758.54,0.0,3705.67,24292.7,Pending,,7,App
62,1165,"2020-01-16 18:25:00",Pending,2463,168,47906.14,11872.73,0.0,6486.01,42519.42,Pending,,2,Website
63,4092,"2020-01-02 21:12:00",Cancelled,2026,,2449.64,206.29,0.0,403.8,2647.15,Pending,,2,App
64,882,"2020-01-02 11:08:00",Delivered,8087,,21499.6,1726.07,0.0,3559.24,23332.77,Paid,"2020-01-07 11:08:00",1,"Mobile Web"
65,773,"2020-01-21 20:25:00",Delivered,2719,48,78896.6,4194.41,0.0,13446.39,88148.58,Paid,"2020-01-28 20:25:00",7,Website
66,237,"2020-01-17 22:39:00",Delivered,9971,38,20254.12,4228.0,0.0,2884.7,18910.82,Paid,"2020-01-24 22:39:00",6,App
67,1260,"2020-01-07 11:29:00",Returned,5638,112,68721.76,10742.12,0.0,10436.34,68415.98,Paid,,6,App
68,834,"2020-01-02 02:07:00",Delivered,9092,51,52223.81,1583.61,0.0,9115.24,59755.44,Paid,"2020-01-05 02:07:00",9,"Mobile Web"
69,2374,"2020-01-06 18:23:00",Processing,7564,9,19619.33,990.31,0.0,3353.22,21982.24,Pending,,9,Website
70,4074,"2020-01-10 04:35:00",Delivered,9257,,57821.74,176.49,0.0,10376.15,68021.4,Paid,"2020-01-12 04:35:00",7,App
71,4442,"2020-01-04 11:59:00",Delivered,842,5,2243.7,494.16,0.0,314.92,2064.46,Paid,"2020-01-09 11:59:00",10,Website
72,319,"2020-01-27 01:02:00",Delivered,3676,114,50534.62,1665.15,0.0,8796.5,57665.97,Paid,"2020-01-29 01:02:00",10,Website
73,812,"2020-01-02 23:18:00",Delivered,8919,,54665.25,2647.01,0.0,9363.28,61381.52,Paid,"2020-01-09 23:18:00",1,App
74,4958,"2020-01-13 21:08:00",Delivered,815,72,55317.98,9211.51,0.0,8299.16,54405.63,Paid,"2020-01-15 21:08:00",5,Website
75,3756,"2020-01-13 14:33:00",Delivered,4046,,18229.95,3011.61,0.0,2739.3,17957.64,Paid,"2020-01-18 14:33:00",3,App
76,3281,"2020-01-23 07:16:00",Delivered,5600,166,67059.66,3479.98,0.0,11444.34,75024.02,Paid,"2020-01-31 07:16:00",5,Website
77,3065,"2020-01-12 10:19:00",Delivered,7751,,19453.85,2569.65,0.0,3039.16,19923.36,Paid,"2020-01-18 10:19:00",6,App
78,699,"2020-01-15 02:25:00",Delivered,649,,21639.24,5108.64,0.0,2975.51,19506.11,Paid,"2020-01-18 02:25:00",3,App
79,1582,"2020-01-01 12:44:00",Returned,6238,,25546.12,1642.01,0.0,4302.74,28206.85,Paid,,4,Website
80,1722,"2020-01-09 07:11:00",Processing,1251,119,75948.84,5435.02,0.0,12692.49,83206.31,Pending,,3,App
81,133,"2020-01-19 05:33:00",Delivered,857,,63248.07,2037.19,0.0,11017.96,72228.84,Paid,"2020-01-21 05:33:00",4,App
82,3926,"2020-01-30 19:50:00",Delivered,3155,193,73772.95,21011.77,0.0,9497.01,62258.19,Paid,"2020-02-04 19:50:00",4,Website
83,93,"2020-01-19 23:13:00",Delivered,6735,,38617.95,5643.89,0.0,5935.33,38909.39,Paid,"2020-01-24 23:13:00",8,Website
84,1394,"2020-01-21 15:38:00",Delivered,5551,,72306.95,11149.67,0.0,11008.31,72165.59,Paid,"2020-01-28 15:38:00",1,App
85,729,"2020-01-01 19:53:00",Delivered,3190,,74134.53,13450.39,0.0,10923.15,71607.29,Paid,"2020-01-05 19:53:00",6,App
86,3405,"2020-01-13 15:26:00",Delivered,4156,130,62156.96,9423.32,0.0,9492.06,62225.7,Paid,"2020-01-20 15:26:00",5,App
87,2693,"2020-01-12 11:48:00",Delivered,7396,143,76769.04,5765.23,0.0,12780.69,83784.5,Paid,"2020-01-17 11:48:00",4,"Mobile Web"
88,3808,"2020-01-01 10:13:00",Delivered,3296,,24331.88,1879.88,0.0,4041.36,26493.36,Paid,"2020-01-09 10:13:00",6,Website
89,116,"2020-01-16 05:56:00",Delivered,857,,24392.93,5539.92,0.0,3393.54,22246.55,Paid,"2020-01-19 05:56:00",7,App
90,3824,"2020-01-03 21:26:00",Processing,4632,,61766.23,3212.64,0.0,10539.65,69093.24,Pending,,10,Website
91,1882,"2020-01-18 06:57:00",Delivered,6652,134,77219.22,17816.44,0.0,10692.5,70095.28,Paid,"2020-01-25 06:57:00",1,"Mobile Web"
92,929,"2020-01-20 16:32:00",Delivered,3526,64,7660.55,570.76,0.0,1276.16,8365.95,Paid,"2020-01-27 16:32:00",8,"Mobile Web"
93,1949,"2020-01-24 09:46:00",Delivered,4595,35,55666.8,3134.84,0.0,9455.75,61987.71,Paid,"2020-01-28 09:46:00",2,App
94,1235,"2020-01-15 20:31:00",Delivered,689,,58561.71,13616.37,0.0,8090.16,53035.5,Paid,"2020-01-20 20:31:00",9,App
95,2174,"2020-01-12 20:20:00",Delivered,6501,,8256.86,2158.14,0.0,1097.77,7196.49,Paid,"2020-01-15 20:20:00",7,Website
96,4003,"2020-01-18 21:55:00",Shipped,3028,141,65744.23,7735.33,0.0,10441.6,68450.5,Paid,,3,App
97,2483,"2020-01-06 10:03:00",Cancelled,6190,,43618.22,7307.18,0.0,6535.99,42847.03,Pending,,6,App
98,3221,"2020-01-29 19:22:00",Delivered,1571,162,360.73,104.94,40.0,46.04,341.83,Paid,"2020-01-31 19:22:00",5,App
99,2852,"2020-01-13 17:33:00",Delivered,3469,,30653.99,9108.62,0.0,3878.17,25423.54,Paid,"2020-01-18 17:33:00",4,"Mobile Web"
100,3189,"2020-01-02 19:01:00",Delivered,2997,,41673.73,6598.01,0.0,6313.63,41389.35,Paid,"2020-01-10 19:01:00",5,App
101,3192,"2020-01-06 22:04:00",Cancelled,4177,25,6646.71,1026.33,0.0,1011.67,6632.05,Pending,,3,Website
102,4595,"2020-01-07 20:32:00",Delivered,965,,43351.2,5482.59,0.0,6816.35,44684.96,Paid,"2020-01-13 20:32:00",9,App
103,896,"2020-01-17 23:16:00",Delivered,3516,,27800.98,4342.66,0.0,4222.5,27680.82,Paid,"2020-01-24 23:16:00",9,App
104,3385,"2020-01-18 12:32:00",Delivered,3209,,32691.07,8241.43,0.0,4400.94,28850.58,Paid,"2020-01-22 12:32:00",2,App
105,4290,"2020-01-15 11:17:00",Delivered,5667,,3701.64,1089.61,0.0,470.17,3082.2,Paid,"2020-01-23 11:17:00",4,"Mobile Web"
106,3698,"2020-01-29 07:33:00",Shipped,9719,141,65520.85,9406.04,0.0,10100.67,66215.48,Paid,,3,App
107,3409,"2020-01-29 18:10:00",Processing,1271,,43384.52,8974.38,0.0,6193.83,40603.97,Pending,,1,App
108,3945,"2020-01-24 19:57:00",Cancelled,173,,44514.87,2156.18,0.0,7624.56,49983.25,Failed,,7,"Mobile Web"
109,3215,"2020-01-07 04:33:00",Confirmed,4987,,39452.15,797.8,0.0,6957.78,45612.13,Pending,,7,App
110,1064,"2020-01-24 18:09:00",Processing,4718,,18621.24,298.53,0.0,3298.09,21620.8,Pending,,5,App
111,2266,"2020-01-18 04:31:00",Delivered,5076,,63013.7,12253.57,0.0,9136.82,59896.95,Paid,"2020-01-23 04:31:00",9,App
112,1241,"2020-01-19 12:56:00",Delivered,908,,69306.39,7654.67,0.0,11097.31,72749.03,Paid,"2020-01-24 12:56:00",9,App
113,783,"2020-01-05 01:36:00",Delivered,1229,179,77866.2,6841.19,0.0,12784.5,83809.51,Paid,"2020-01-10 01:36:00",3,Website
114,588,"2020-01-13 04:24:00",Delivered,8850,104,10921.2,712.99,0.0,1837.48,12045.69,Paid,"2020-01-15 04:24:00",2,App
115,2303,"2020-01-05 14:57:00",Returned,4934,3,58403.41,8673.83,0.0,8951.32,58680.9,Paid,,1,App
116,1960,"2020-01-25 08:08:00",Cancelled,2464,29,6592.62,213.18,0.0,1148.3,7527.74,Pending,,4,Website
117,2092,"2020-01-06 18:51:00",Delivered,3949,,15834.4,3180.42,0.0,2277.72,14931.7,Paid,"2020-01-13 18:51:00",6,Website
118,2968,"2020-01-26 15:26:00",Shipped,4994,136,72644.47,3550.43,0.0,12436.93,81530.97,Paid,,6,"Mobile Web"
119,4069,"2020-01-30 18:58:00",Delivered,1244,,47341.99,6600.41,0.0,7333.48,48075.06,Paid,"2020-02-02 18:58:00",3,App
120,4949,"2020-01-22 19:52:00",Delivered,8906,,16461.21,3051.19,0.0,2413.8,15823.82,Paid,"2020-01-24 19:52:00",7,App
121,3354,"2020-01-11 04:22:00",Cancelled,4794,,19486.07,3359.1,0.0,2902.85,19029.82,Failed,,9,Website
122,565,"2020-01-11 04:40:00",Returned,1196,,59671.69,3993.22,0.0,10022.12,65700.59,Paid,,2,Website
123,2186,"2020-01-02 03:54:00",Delivered,2937,91,53462.1,14092.24,0.0,7086.57,46456.43,Paid,"2020-01-07 03:54:00",8,App
124,2091,"2020-01-22 23:58:00",Delivered,6495,63,44443.09,11515.91,0.0,5926.89,38854.07,Paid,"2020-01-25 23:58:00",5,Website
125,1923,"2020-01-15 05:17:00",Delivered,2479,,69196.85,2157.25,0.0,12067.13,79106.73,Paid,"2020-01-22 05:17:00",9,Website
126,4025,"2020-01-04 05:56:00",Delivered,3436,139,58435.62,14783.6,0.0,7857.36,51509.38,Paid,"2020-01-12 05:56:00",8,Website
127,3353,"2020-01-24 10:31:00",Delivered,4035,,46112.13,6623.19,0.0,7108.01,46596.95,Paid,"2020-01-26 10:31:00",9,Website
128,2708,"2020-01-23 19:58:00",Delivered,4697,24,72891.27,17190.82,0.0,10026.08,65726.53,Paid,"2020-01-28 19:58:00",5,Website
129,1646,"2020-01-07 21:29:00",Returned,2998,,31515.93,3748.97,0.0,4998.05,32765.01,Paid,,2,App
130,944,"2020-01-05 03:16:00",Delivered,3645,,37566.93,6983.23,0.0,5505.07,36088.77,Paid,"2020-01-10 03:16:00",7,Website
131,4110,"2020-01-30 14:24:00",Delivered,5652,104,60648.82,16243.17,0.0,7993.02,52398.67,Paid,"2020-02-01 14:24:00",1,App
132,3914,"2020-01-10 07:52:00",Delivered,8427,,406.57,59.61,40.0,62.45,449.41,Paid,"2020-01-17 07:52:00",5,Website
133,204,"2020-01-18 12:31:00",Delivered,4033,,39770.87,5676.08,0.0,6137.06,40231.85,Paid,"2020-01-24 12:31:00",1,App
134,2338,"2020-01-26 00:35:00",Cancelled,7084,125,6291.58,954.55,0.0,960.67,6297.7,Pending,,9,App
135,3936,"2020-01-28 03:52:00",Delivered,6665,56,43762.92,1638.9,0.0,7582.32,49706.34,Paid,"2020-01-31 03:52:00",10,App
136,4420,"2020-01-18 09:06:00",Delivered,6455,145,47947.6,1865.35,0.0,8294.81,54377.06,Paid,"2020-01-26 09:06:00",7,"Mobile Web"
137,2087,"2020-01-09 23:40:00",Delivered,5287,158,48483.04,6266.38,0.0,7599.0,49815.66,Paid,"2020-01-11 23:40:00",9,Website
138,4656,"2020-01-27 05:46:00",Returned,3444,62,19532.02,1646.58,0.0,3219.38,21104.82,Paid,,2,"Mobile Web"
139,2113,"2020-01-19 17:16:00",Delivered,3483,,38479.78,2494.25,0.0,6477.4,42462.93,Paid,"2020-01-27 17:16:00",4,App
140,3427,"2020-01-31 09:55:00",Delivered,3090,,75628.33,4865.46,0.0,12737.32,83500.19,Paid,"2020-02-02 09:55:00",2,App
141,69,"2020-01-09 10:15:00",Delivered,7477,,71981.78,2966.34,0.0,12422.78,81438.22,Paid,"2020-01-12 10:15:00",7,App
142,607,"2020-01-02 19:08:00",Delivered,576,,78374.06,14748.66,0.0,11452.57,75077.97,Paid,"2020-01-09 19:08:00",10,Website
143,2632,"2020-01-08 14:24:00",Processing,8663,,20283.69,5177.47,0.0,2719.12,17825.34,Pending,,10,App
144,1982,"2020-01-25 03:43:00",Shipped,5838,,20299.82,2640.96,0.0,3178.59,20837.45,Paid,,2,App
145,2433,"2020-01-29 21:28:00",Delivered,3823,140,25830.25,6097.39,0.0,3551.91,23284.77,Paid,"2020-02-06 21:28:00",4,App
146,2328,"2020-01-09 23:30:00",Delivered,8848,,41365.71,10375.87,0.0,5578.17,36568.01,Paid,"2020-01-13 23:30:00",5,App
147,3547,"2020-01-26 09:02:00",Returned,4660,129,17282.05,1225.6,0.0,2890.16,18946.61,Paid,,5,App
148,1392,"2020-01-17 11:08:00",Delivered,5027,,25442.08,7118.32,0.0,3298.28,21622.04,Paid,"2020-01-25 11:08:00",6,App
149,209,"2020-01-28 21:07:00",Cancelled,2835,,28358.62,4335.17,0.0,4324.22,28347.67,Failed,,10,App
150,1066,"2020-01-02 00:39:00",Shipped,2020,,76995.83,19446.36,0.0,10358.9,67908.37,Paid,,8,App
151,1278,"2020-01-23 21:06:00",Delivered,842,,36932.22,6019.97,0.0,5564.2,36476.45,Paid,"2020-01-29 21:06:00",10,Website
152,3058,"2020-01-21 06:35:00",Delivered,536,,66088.51,15671.29,0.0,9075.1,59492.32,Paid,"2020-01-24 06:35:00",6,App
153,4743,"2020-01-07 01:22:00",Delivered,1953,,26650.63,3037.14,0.0,4250.43,27863.92,Paid,"2020-01-13 01:22:00",2,Website
154,4612,"2020-01-21 19:53:00",Delivered,5663,,18546.91,2383.06,0.0,2909.49,19073.34,Paid,"2020-01-24 19:53:00",2,App
155,4209,"2020-01-24 10:45:00",Delivered,4598,68,13572.49,1426.87,0.0,2186.21,14331.83,Paid,"2020-01-27 10:45:00",9,App
156,1278,"2020-01-19 03:11:00",Delivered,2915,96,60300.1,7928.77,0.0,9426.84,61798.17,Paid,"2020-01-22 03:11:00",6,"Mobile Web"
157,2838,"2020-01-17 09:56:00",Delivered,500,,14572.72,2075.0,0.0,2249.59,14747.31,Paid,"2020-01-22 09:56:00",5,"Mobile Web"
158,1799,"2020-01-12 21:26:00",Delivered,6612,52,52572.99,4290.36,0.0,8690.87,56973.5,Paid,"2020-01-15 21:26:00",3,"Mobile Web"
159,544,"2020-01-29 10:07:00",Delivered,4189,,17366.01,60.19,0.0,3115.05,20420.87,Paid,"2020-02-01 10:07:00",9,"Mobile Web"
160,1185,"2020-01-25 20:05:00",Delivered,6552,78,14316.13,339.39,0.0,2515.81,16492.55,Paid,"2020-02-02 20:05:00",3,"Mobile Web"
161,2448,"2020-01-04 03:45:00",Delivered,67,78,75756.95,3995.49,0.0,12917.06,84678.52,Paid,"2020-01-09 03:45:00",7,App
162,2606,"2020-01-11 01:39:00",Shipped,7933,,11212.3,1707.58,0.0,1710.85,11215.57,Paid,,6,App
163,212,"2020-01-29 07:02:00",Delivered,3822,,22282.17,3032.35,0.0,3464.97,22714.79,Paid,"2020-02-06 07:02:00",1,Website
164,2308,"2020-01-13 08:47:00",Shipped,5336,49,32486.19,6736.34,0.0,4634.97,30384.82,Paid,,5,App
165,175,"2020-01-14 22:41:00",Delivered,5389,,40498.13,9804.87,0.0,5524.79,36218.05,Paid,"2020-01-18 22:41:00",3,"Mobile Web"
166,1091,"2020-01-13 01:20:00",Delivered,4958,,32328.81,3661.42,0.0,5160.13,33827.52,Paid,"2020-01-21 01:20:00",1,"Mobile Web"
167,1403,"2020-01-22 01:49:00",Delivered,4754,60,68199.16,11656.24,0.0,10177.73,66720.65,Paid,"2020-01-29 01:49:00",1,"Mobile Web"
168,228,"2020-01-24 19:34:00",Delivered,9422,,17100.49,4404.61,0.0,2285.26,14981.14,Paid,"2020-02-01 19:34:00",2,App
169,2583,"2020-01-31 15:21:00",Returned,2557,177,31871.69,4649.32,0.0,4900.03,32122.4,Paid,,10,App
170,1692,"2020-01-25 12:17:00",Processing,9519,114,19929.68,4307.97,0.0,2811.91,18433.62,Pending,,4,App
171,4523,"2020-01-04 09:09:00",Delivered,3832,,1100.12,38.16,0.0,191.15,1253.11,Paid,"2020-01-11 09:09:00",2,"Mobile Web"
172,3665,"2020-01-11 04:51:00",Delivered,1574,,50394.85,2289.9,0.0,8658.89,56763.84,Paid,"2020-01-13 04:51:00",10,"Mobile Web"
173,2878,"2020-01-27 04:14:00",Shipped,9483,49,8144.51,1790.1,0.0,1143.79,7498.2,Paid,,2,App
174,719,"2020-01-26 14:04:00",Returned,4866,,37601.04,2348.72,0.0,6345.42,41597.74,Paid,,2,App
175,1823,"2020-01-30 09:58:00",Cancelled,500,46,42407.56,11929.06,0.0,5486.13,35964.63,Failed,,3,App
176,3336,"2020-01-06 23:17:00",Delivered,2375,,75034.03,15126.39,0.0,10783.38,70691.02,Paid,"2020-01-12 23:17:00",9,App
177,4556,"2020-01-10 12:15:00",Shipped,5383,154,70901.89,7902.85,0.0,11339.83,74338.87,Paid,,3,Website
178,3446,"2020-01-03 03:30:00",Cancelled,1336,,4911.43,1450.18,0.0,623.02,4084.27,Failed,,7,Website
179,3751,"2020-01-09 22:15:00",Cancelled,3385,,68468.85,4026.93,0.0,11599.55,76041.47,Pending,,1,App
180,1500,"2020-01-05 04:00:00",Delivered,2448,21,47784.93,125.54,0.0,8578.69,56238.08,Paid,"2020-01-10 04:00:00",4,App
181,3380,"2020-01-25 02:31:00",Delivered,1568,63,78408.29,21554.47,0.0,10233.69,67087.51,Paid,"2020-01-29 02:31:00",6,Website
182,467,"2020-01-19 23:10:00",Delivered,5324,,61078.53,11749.8,0.0,8879.17,58207.9,Paid,"2020-01-25 23:10:00",5,App
183,1900,"2020-01-29 22:29:00",Pending,557,,16093.16,59.08,0.0,2886.13,18920.21,Pending,,5,App
184,2512,"2020-01-30 08:10:00",Delivered,5506,,45323.53,5647.12,0.0,7141.75,46818.16,Paid,"2020-02-02 08:10:00",8,App
185,4956,"2020-01-12 17:40:00",Delivered,8378,,11560.48,1072.98,0.0,1887.75,12375.25,Paid,"2020-01-16 17:40:00",10,App
186,33,"2020-01-21 07:06:00",Cancelled,6293,,33038.62,2558.71,0.0,5486.38,35966.29,Pending,,3,App
187,1564,"2020-01-30 01:10:00",Returned,8074,24,69584.65,17753.42,0.0,9329.62,61160.85,Paid,,7,App
188,273,"2020-01-02 17:26:00",Delivered,8298,94,36576.67,10643.91,0.0,4667.9,30600.66,Paid,"2020-01-07 17:26:00",6,"Mobile Web"
189,2111,"2020-01-28 04:05:00",Delivered,8356,,15824.86,426.84,0.0,2771.64,18169.66,Paid,"2020-01-31 04:05:00",3,App
190,2959,"2020-01-15 09:00:00",Delivered,3437,,77877.28,3257.57,0.0,13431.55,88051.26,Paid,"2020-01-21 09:00:00",8,App
191,4383,"2020-01-18 22:49:00",Delivered,7834,97,21099.4,1772.01,0.0,3478.93,22806.32,Paid,"2020-01-25 22:49:00",10,App
192,3042,"2020-01-27 08:34:00",Delivered,6076,,21219.96,5376.22,0.0,2851.87,18695.61,Paid,"2020-02-02 08:34:00",8,App
193,4161,"2020-01-10 00:31:00",Delivered,1475,,53147.53,12767.75,0.0,7268.36,47648.14,Paid,"2020-01-13 00:31:00",6,App
194,356,"2020-01-31 10:19:00",Delivered,503,176,74453.24,16225.84,0.0,10480.93,68708.33,Paid,"2020-02-06 10:19:00",9,App
